序号,文件,项目名称,项目地址,城市,经度,纬度,定位方式
335,parking_lots_monthly.json,和盛五十府停车场,宝龙街道和盛五十府新意物流大厦,深圳市,114.300566,22.730965,地址搜索
343,parking_lots_monthly.json,嘉保润金座停车场,南村一街嘉葆润·金座,深圳市,114.047707,22.523965,地址搜索
346,parking_lots_monthly.json,嘉宝物业停车场,凤岗新联路孔雀天地,东莞市,114.133075,22.743163,地址搜索
366,parking_lots_monthly.json,塘厦华赛电子批发市场,华赛电子批发市场(宏业北十六路),深圳市,,,定位失败
369,parking_lots_monthly.json,塘径小区停车场,塘园新村豪庭居,深圳市,114.120117,22.619489,地址搜索
378,parking_lots_monthly.json,大与文体中心停车场,横岗街道大与文体中心,深圳市,114.220261,22.650769,地址搜索
388,parking_lots_monthly.json,大地苑小区停车场,银坭岗村湖,深圳市,114.098763,22.566244,地址搜索
390,parking_lots_monthly.json,大坪社区黎园坑路停车场,黎园坑路,深圳市,,,定位失败
395,parking_lots_monthly.json,大朗松湖云谷梦工厂,东莞大朗松湖云谷梦工厂,东莞市,113.929636,22.937998,地址搜索
401,parking_lots_monthly.json,大运锦秀花园停车场,龙城街道爱联锦秀村,深圳市,114.227498,22.697318,地址搜索
406,parking_lots_monthly.json,天安大厦停车场,南湖街道天安国际大厦,深圳市,114.11931,22.54202,地址搜索
412,parking_lots_monthly.json,天王星工业园停车场,玉塘街道深圳市阿可美电器有限公司天王星科技园,深圳市,113.912918,22.725214,地址搜索
423,parking_lots_monthly.json,安宏基星曜广场产业园停车场,大浪街道安宏基星曜产业园,深圳市,113.989287,22.678246,地址搜索
424,parking_lots_monthly.json,安宏基星曜广场商业停车场,华兴路38号,深圳市,113.989287,22.678246,地址搜索
430,parking_lots_monthly.json,宏发玺玥大厦/玺玥麓坊停车场,创业二路与新安三路交叉口西80米(洪浪北地铁站D口旁),深圳市,113.90988,22.574885,地址搜索
443,parking_lots_monthly.json,宝安书城,中心路89号宝安书城3楼,深圳市,113.829172,22.731163,地址搜索
446,parking_lots_monthly.json,宝安新一代技术产业园,宝安新一代技术产业园,深圳市,113.912428,22.576793,地址搜索
449,parking_lots_monthly.json,宝安碧海湾充站停车场,西乡街道银田路碧海湾充电站,深圳市,113.855264,22.578778,地址搜索
450,parking_lots_monthly.json,宝安顺风停车场,石岩顺风停车场充电站,深圳市,,,定位失败
458,parking_lots_monthly.json,宝立方中心停车场,西乡街道创意研发大厦B座,深圳市,113.892035,22.579955,地址搜索
461,parking_lots_monthly.json,宝龙工业园企业服务中心停车场,龙澜大道辅路与大浪南路交叉口东北180米,深圳市,114.014292,22.674307,地址搜索
466,parking_lots_monthly.json,富民工业区,和沙路富民工业区,深圳市,113.802982,22.698659,地址搜索
467,parking_lots_monthly.json,富民工业区一期停车场,民乐路7号富民工业区一期,深圳市,114.13675,22.67471,地址搜索
471,parking_lots_monthly.json,富通九曜公馆-门禁,沙头街道,深圳市,114.042696,22.529258,地址搜索
491,parking_lots_monthly.json,布吉天虹商场停车场,深圳市龙岗区中兴路38号,深圳市,114.124182,22.608716,地址搜索
495,parking_lots_monthly.json,平吉上苑二期停车场,平湖街道上木古社区新河路2号,深圳市,114.122131,22.66865,地址搜索
503,parking_lots_monthly.json,广东省龙华区大浪街道桂冠华庭幼儿园旁,广东省龙华区大浪街道桂冠华庭幼儿园旁,深圳市,113.989401,22.671427,地址搜索
522,parking_lots_monthly.json,张二小区停车场,黄背坑路与小区一号路交叉口东南40米,深圳市,114.095033,22.715247,地址搜索
524,parking_lots_monthly.json,御宝花园酒店西南停车场,御宝酒店停车场,深圳市,113.882706,22.562999,地址搜索
530,parking_lots_monthly.json,德馨苑地库停车场,沙三新路94号,深圳市,113.80449,22.74395,地址搜索
531,parking_lots_monthly.json,志健时代广场停车场,横岗街道志健时代广场金沙摩尔(茂盛路),深圳市,114.204638,22.647279,地址搜索
535,parking_lots_monthly.json,怀德创思中心五、六楼室内停车场,金泰一路与金泰二路交叉口西南160米,深圳市,113.83345,22.662458,地址搜索
537,parking_lots_monthly.json,怀德翠岗工业园三区,福永街道怀德翠岗工业园三区,深圳市,113.826604,22.663106,地址搜索
538,parking_lots_monthly.json,怀德翠湖工业区,水库路19号怀德翠湖工业园(1号门),深圳市,113.82212,22.689112,地址搜索
539,parking_lots_monthly.json,思创大厦,高新南一道,深圳市,113.952296,22.538572,地址搜索
546,parking_lots_monthly.json,恒博创新科技产业园停车场,清宁路29号,深圳市,114.23738,22.718827,地址搜索
549,parking_lots_monthly.json,恒明珠金融中心,深圳市宝安区新安街道恒明珠国际金融中心,深圳市,113.909809,22.557133,地址搜索
561,parking_lots_monthly.json,报业厂区停车场,深圳市龙华区清祥路2号,深圳市,114.061865,22.674934,地址搜索
579,parking_lots_monthly.json,料坑第二工业园,石岩街道民生一路,深圳市,113.891499,22.663591,地址搜索
584,parking_lots_monthly.json,新南苑停车场,新洲二街59号,深圳市,114.046369,22.521798,地址搜索
588,parking_lots_monthly.json,新屋吓宝龙工业园停车场,深圳市龙岗区翠宝路与宝坪路交叉口东北100米,深圳市,114.277915,22.679657,地址搜索
591,parking_lots_monthly.json,新木盛低碳园,平湖街道新木盛低碳园,深圳市,114.129187,22.663355,地址搜索
593,parking_lots_monthly.json,新永顺科技园停车场,黄金湖二路与三星路交叉口东220米,深圳市,113.917818,22.577266,地址搜索
600,parking_lots_monthly.json,新美产业园,公常路21号,深圳市,113.962274,22.796527,地址搜索
601,parking_lots_monthly.json,新联河产业园停车场,沙井街道新吉兴一路新联河工业园,深圳市,113.781927,22.72229,地址搜索
603,parking_lots_monthly.json,新零售数字化产业园,宝安大道与航城大道交叉口东160米,深圳市,113.841679,22.61638,地址搜索
610,parking_lots_monthly.json,施索科技园停车场,龙城街道吉祥社区彩云路1号新中泰文化创业园1栋106,深圳市,114.242383,22.706659,地址搜索
628,parking_lots_monthly.json,星河ICO停车场,东环二路ico商场,深圳市,114.03861,22.65621,地址搜索
644,parking_lots_monthly.json,智荟大厦,沙井街道新沙路535号华盛希尔顿花园酒店,深圳市,113.817354,22.731401,地址搜索
649,parking_lots_monthly.json,有德商业广场停车场,龙凤路25号华锦食尚荟,东莞市,,,定位失败
656,parking_lots_monthly.json,朱古石小区停车场,朱古石小区,深圳市,114.223164,22.745975,地址搜索
672,parking_lots_monthly.json,格泰隆智谷停车场,布龙路224号,深圳市,114.041442,22.629951,地址搜索
676,parking_lots_monthly.json,梓盛发新天地广场,李南路42号,深圳市,114.135446,22.633237,地址搜索
678,parking_lots_monthly.json,梵思诺产业园,大浪街道梵思诺数字时尚产业园,深圳市,113.990925,22.695383,地址搜索
686,parking_lots_monthly.json,榕树吓村(公交站)停车场,同心路与岗德路交叉口西160米,深圳市,114.310317,22.72045,地址搜索
690,parking_lots_monthly.json,横朗科创园二期,华兴路与华朗路交叉口西南120米,深圳市,113.990163,22.677674,地址搜索
691,parking_lots_monthly.json,横朗科创园车巴达洗车场,深圳市龙华区华辉路65号,深圳市,113.984989,22.677308,地址搜索
694,parking_lots_monthly.json,步涌北方永发科技园,沙井街道步涌北方永发科技园,深圳市,113.812984,22.76035,地址搜索
695,parking_lots_monthly.json,步涌村,沙井街道东埔路,深圳市,113.815203,22.753733,地址搜索
698,parking_lots_monthly.json,水松大厦地库停车场,泰然八路25号水松大厦,深圳市,114.023405,22.529689,地址搜索
714,parking_lots_monthly.json,汉国城市商业中心停车场,深圳市福田区深南中路3031号,深圳市,114.080436,22.539429,地址搜索
715,parking_lots_monthly.json,江灏工业区停车场,坂田街道吉华路430江江灏科技园,深圳市,114.079266,22.644855,地址搜索
717,parking_lots_monthly.json,沃尔玛OCT大厦湖滨地下停车场,沙河街道华侨城购物广场沃尔玛(深圳华侨城分店),深圳市,113.983177,22.535599,地址搜索
721,parking_lots_monthly.json,沙井天虹,沙井中心路32号,深圳市,113.829679,22.720697,地址搜索
724,parking_lots_monthly.json,沙浦围村,松岗街道沙浦围工业大道9号沙浦围社区健康服务中心,深圳市,113.822004,22.778828,地址搜索
730,parking_lots_monthly.json,泰然大厦地库停车场,泰然八路31号深业泰然大厦,深圳市,114.021871,22.530364,地址搜索
732,parking_lots_monthly.json,泰福公寓酒店鸿泊停车场,深圳市宝安区航城街道广深路623号,深圳市,113.83759,22.637559,地址搜索
734,parking_lots_monthly.json,泽达利工业园停车场,建安路泽达利工业园,深圳市,113.78961,22.706456,地址搜索
743,parking_lots_monthly.json,浩盛隆时尚创意园,大浪街道浪腾路,深圳市,113.985426,22.701627,地址搜索
744,parking_lots_monthly.json,浩管嘉企创园一期停车场,大浪街道浩管嘉企创园,深圳市,113.985939,22.681308,地址搜索
745,parking_lots_monthly.json,浩管嘉企创园二期停车场,大浪街道枭龙路浩管嘉企创园,深圳市,113.985953,22.681858,地址搜索
746,parking_lots_monthly.json,浪心工业园停车场,石岩街道浪心社区浪心工业区,深圳市,113.928229,22.674869,地址搜索
752,parking_lots_monthly.json,海燕酒店,迎春路2号深房停车场,深圳市,114.117968,22.539868,地址搜索
754,parking_lots_monthly.json,海鑫光工业区停车场,新湖街道圳美大道833号海鑫光高新技术工业园,深圳市,113.951096,22.788506,地址搜索
755,parking_lots_monthly.json,海鑫光工业园地面停车场,光明区光侨路与碧龙路交汇处,深圳市,113.949671,22.786892,地址搜索
759,parking_lots_monthly.json,深业泰然玫瑰轩停车场,观湖街道盈丰路玫瑰轩南座,深圳市,114.058358,22.7166,地址搜索
766,parking_lots_monthly.json,深圳云龙府,龙华街道油松路与工业东路交叉口东北角,深圳市,114.044299,22.63907,地址搜索
772,parking_lots_monthly.json,深圳坂田长坑停车场,坂田路杨美社区五和地铁C出口长坑区五巷(原宝华驾校),深圳市,114.071088,22.630461,地址搜索
774,parking_lots_monthly.json,深圳奥康德集团股份有限公司停车场,深南东路2010-1号奥康德大厦,深圳市,114.128276,22.545279,地址搜索
779,parking_lots_monthly.json,深圳市体育中心停车场,深圳市福田区笋岗西路2006号,深圳市,114.093752,22.557134,地址搜索
780,parking_lots_monthly.json,深圳市圳发云谷一期,将石路,深圳市,113.897739,22.751129,地址搜索
781,parking_lots_monthly.json,深圳市盐田区盐田学校,田中路盐田学校,深圳市,114.233328,22.558683,地址搜索
782,parking_lots_monthly.json,深圳市硅谷动力射频科技园停车场,四黎路503号,深圳市,114.038626,22.730683,地址搜索
783,parking_lots_monthly.json,深圳市英龙商务中心停车场,商报东路,深圳市,114.048522,22.544123,地址搜索
791,parking_lots_monthly.json,深圳登喜路酒店停车场,西乡街道前进二路103-2号深圳登喜路国际大酒店,深圳市,113.879111,22.593277,地址搜索
798,parking_lots_monthly.json,深盐路黄金珠宝大厦（充电优惠）,深盐路2013(盐田港西地铁站B2口步行190米),深圳市,114.248372,22.563231,地址搜索
812,parking_lots_monthly.json,港之龙地面停车场,清龙路港之龙科技园,深圳市,114.040122,22.665805,地址搜索
813,parking_lots_monthly.json,港安驾校簕竹角停车场,广东省深圳市宝安区航城街道鸿鑫工业园,深圳市,113.876236,22.667134,地址搜索
814,parking_lots_monthly.json,港安驾校观澜停车场,广东省深圳市龙华区观澜街道桂花社区为盛百货对面,深圳市,114.060358,22.726631,地址搜索
816,parking_lots_monthly.json,港隆城地面停车场,宝安区宝民二路129号港隆城,深圳市,113.880779,22.581814,地址搜索
824,parking_lots_monthly.json,溪头物业小区停车场,溪头西十巷9号,深圳市,113.834992,22.776252,地址搜索
826,parking_lots_monthly.json,满京华商业大厦,深圳市福田区梅林街道凯丰路4号满京华商业大厦,深圳市,114.06419,22.566137,地址搜索
829,parking_lots_monthly.json,澳佳工业园停车场,富新路与平湖大新街交叉口西160米,深圳市,114.134435,22.685239,地址搜索
836,parking_lots_monthly.json,牛根坳停车场,光姜路25号,深圳市,,,定位失败
840,parking_lots_monthly.json,特力金钻大厦停车场,贝丽北路54号,深圳市,114.124111,22.571872,地址搜索
842,parking_lots_monthly.json,特发信息科技大厦地下停车场,南山琼宇路2号,深圳市,113.951492,22.55087,地址搜索
851,parking_lots_monthly.json,瑞思大厦,沿河北路1002号,深圳市,114.142672,22.547522,地址搜索
858,parking_lots_monthly.json,田背工业区,观天路与新村南路交叉口东南240米,深圳市,114.035689,22.690009,地址搜索
861,parking_lots_monthly.json,电达谷产业园二地块停车场,电达谷产业园二地块,深圳市,113.883428,22.770501,地址搜索
870,parking_lots_monthly.json,百安居罗湖店停车场（北新物料）,深圳市罗湖区笋岗街道泥岗东路百安居罗湖店停车场,深圳市,114.109237,22.569503,地址搜索
873,parking_lots_monthly.json,百花立体车库（长泰花园内）,百花四路,深圳市,114.089632,22.552704,地址搜索
880,parking_lots_monthly.json,益民食品工业园停车场,南湾街道意大隆珠宝产业园深圳法律创意园,深圳市,114.149119,22.631499,地址搜索
885,parking_lots_monthly.json,盛德兰工业园停车场,库坑一路6-7号,深圳市,114.036622,22.736907,地址搜索
886,parking_lots_monthly.json,盛波工业区,龙华街道油松路盛波工业园,深圳市,114.047057,22.645317,地址搜索
887,parking_lots_monthly.json,盛荟红星创智广场,同仁路红星创智广场,深圳市,113.923103,22.727846,地址搜索
891,parking_lots_monthly.json,石岩万联对而停车场,深圳市宝安区石岩街道宝石东路,深圳市,113.963047,22.683463,地址搜索
898,parking_lots_monthly.json,硅谷动力2园（汽车电子产业园）停车场,桂月路与竹山路交叉口西南140米,深圳市,114.027743,22.746131,地址搜索
899,parking_lots_monthly.json,硅谷动力·科苑里停车场,塘厦镇大坪峰景路1号,东莞市,114.046939,22.784085,地址搜索
900,parking_lots_monthly.json,硅谷动力数码产业园(第四园)地面停车场,大富路与大富横三路交叉口北80米,深圳市,114.026373,22.738128,地址搜索
909,parking_lots_monthly.json,祥祺大厦停车场,新洲十一街128号祥祺大厦,深圳市,114.04148,22.52693,地址搜索
918,parking_lots_monthly.json,福海国际科技园A区停车场,福海街道福海国际科技园A区,深圳市,113.790394,22.68928,地址搜索
919,parking_lots_monthly.json,福田公交大厦停车场,莲花街道莲花支路1015号,深圳市,114.06485,22.559498,地址搜索
925,parking_lots_monthly.json,秋瑞商业大厦,民治街道民康路27号秋瑞商业大厦,深圳市,114.041365,22.61373,地址搜索
932,parking_lots_monthly.json,筋杜鹃公园(东方英文书院)停车场,筋杜鹃公园(东方英文书院)停车场,深圳市,113.843719,22.64999,地址搜索
940,parking_lots_monthly.json,红坳新居,光明区凤凰街道凤凰社区皇新路58号,深圳市,113.958876,22.728146,地址搜索
942,parking_lots_monthly.json,红松大厦地库停车场,泰然六路与泰然九路交叉口西北40米,深圳市,114.024452,22.531743,地址搜索
944,parking_lots_monthly.json,经纬中心停车场,平湖街道平安大道307号红星美凯龙(平湖店),深圳市,114.13992,22.670274,地址搜索
945,parking_lots_monthly.json,维也纳酒店东莞清溪宏信店停车场,浮岗街与柏朗西街交叉口西南40米，维也纳酒店东莞清溪宏信店,东莞市,114.146353,22.849329,地址搜索
946,parking_lots_monthly.json,维也纳酒店新生地铁站店停车场,新生社区雄丰路11号(佳得宝家居建材博览中心南区旁近水岸新都),深圳市,114.28124,22.745002,地址搜索
951,parking_lots_monthly.json,绿景虹湾购物中心停车场,北环大道6098号(梅景地铁站A1口步行400米),深圳市,114.038986,22.560533,地址搜索
952,parking_lots_monthly.json,绿景酒店停车场,新洲路3099号,深圳市,114.047819,22.52103,地址搜索
956,parking_lots_monthly.json,美丝工业区（梅林生活中心）停车场,梅村路1号梅林生活中心,深圳市,114.053428,22.563194,地址搜索
958,parking_lots_monthly.json,美兰工业区停车场,深圳市龙华区坂田街道雪岗路2002号,深圳市,114.072002,22.658353,地址搜索
960,parking_lots_monthly.json,美宝和工业区停车场,石龙仔路14号,深圳市,113.98659,22.702927,地址搜索
963,parking_lots_monthly.json,美洲大厦停车场,龙岗大道龙岗段6037号,深圳市,114.271343,22.726124,地址搜索
970,parking_lots_monthly.json,翰宇创新产业园停车场,观湖街道深圳市翰宇创新产业园,深圳市,114.067075,22.683118,地址搜索
981,parking_lots_monthly.json,聚德大厦,福永街道聚德大厦怀德翠岗工业园二区,深圳市,113.824707,22.666348,地址搜索
983,parking_lots_monthly.json,腾邦大厦A栋停车场,清水河五路1号腾邦大厦A座,深圳市,114.112418,22.579238,地址搜索
996,parking_lots_monthly.json,艺强工业园停车场,龙华区高尔夫大道 204号,深圳市,114.090161,22.724251,地址搜索
999,parking_lots_monthly.json,英达丰科技园停车场,吉华路393号,深圳市,114.090915,22.636281,地址搜索
1004,parking_lots_monthly.json,莞深智造商贸城,连霄路7号,深圳市,113.882275,22.766713,地址搜索
1011,parking_lots_monthly.json,衙边旧村停车场,环镇路与岗胜路交叉口北140米,深圳市,113.813345,22.744982,地址搜索
1018,parking_lots_monthly.json,观澜放马埔村桂新路艾润停车场,龙华区观澜街道放马埔村桂新路原新世纪幼儿园门口处,深圳市,114.062675,22.724918,地址搜索
1020,parking_lots_monthly.json,诚进大厦停车场,南山街道前海诚进大厦,深圳市,113.899134,22.507923,地址搜索
1021,parking_lots_monthly.json,诸佛岭社区迎宾小区,迎宾小区,深圳市,113.816474,22.758774,地址搜索
1025,parking_lots_monthly.json,赛为大厦停车场,南湾街道赛为大厦,深圳市,114.136143,22.643159,地址搜索
1027,parking_lots_monthly.json,赛格科技园停车场,华强北路赛格科技园,深圳市,114.087108,22.546665,地址搜索
1031,parking_lots_monthly.json,輋吓村花园坪,龙城街道畲吓花园坪小区畲吓花园坪小区二区,深圳市,114.22969,22.705771,地址搜索
1032,parking_lots_monthly.json,达利西部驾校停车场,深圳市宝安区航城街道凯城一路与利达路交界处,深圳市,113.843141,22.629241,地址搜索
1040,parking_lots_monthly.json,酷石科创中心停车场,坂田街道岗头新围仔诺盟酒店(坂田华为店),深圳市,114.067385,22.637993,地址搜索
1056,parking_lots_monthly.json,金登堡停车场,和平路31号清湖地铁站旁,深圳市,114.038244,22.666657,地址搜索
1062,parking_lots_monthly.json,金钱黄屋村停车场,金钱黄屋村停车场,深圳市,114.306239,22.71563,地址搜索
1069,parking_lots_monthly.json,鑫鑫田产业园停车场,沙井鑫鑫田产业园,深圳市,113.787575,22.730029,地址搜索
1077,parking_lots_monthly.json,锦驰第三工业园,洲石路559号附近,深圳市,113.861112,22.650123,地址搜索
1086,parking_lots_monthly.json,阿宝卡妮尔工业园,阿宝·卡妮尔科技园,深圳市,113.9192,22.638049,地址搜索
1087,parking_lots_monthly.json,陶源地面停车场,龙城街道五联社区协力路承翰陶源花园,深圳市,114.233652,22.750785,地址搜索
1091,parking_lots_monthly.json,集银皮革广场,集银皮革广场停车场,深圳市,114.283402,22.740602,地址搜索
1102,parking_lots_monthly.json,飞快超充站,宝安区石岩外环路与爱群路交叉口,深圳市,113.929042,22.698576,地址搜索
1103,parking_lots_monthly.json,飞黄达科技园停车场,楼明路207号,深圳市,113.923365,22.773859,地址搜索
1106,parking_lots_monthly.json,马坜老一村停车场,马坜老一村停车场,深圳市,114.047808,22.708579,地址搜索
1109,parking_lots_monthly.json,高时文体中心,坂田街道马安堂中兴路高时文体中心,深圳市,114.079935,22.621719,地址搜索
1122,parking_lots_monthly.json,鹏安驾校左侧停车场,大浪街道桂冠华庭旁路鹏安驾校,深圳市,113.845056,22.628176,地址搜索
1123,parking_lots_monthly.json,麟恒中心广场停车场,龙岗大道横岗段2999号麟恒中心广场,深圳市,114.18456,22.638632,地址搜索
1125,parking_lots_monthly.json,麻布新村第二工业园停车场,石岩街道麻布村第二工业区,深圳市,113.890142,22.683511,地址搜索
1127,parking_lots_monthly.json,黄江松宝大家居停车场,东进路粮丰豪庭,深圳市,113.916242,22.7597,地址搜索
1129,parking_lots_monthly.json,黄阁坑大厦,黄阁坑大厦,深圳市,114.212138,22.718028,地址搜索
1140,parking_lots_monthly.json,龙之祥天诚科创园二期停车场,云峰路西,深圳市,114.065852,22.620788,地址搜索
1144,parking_lots_monthly.json,龙华区数字经济跨境电商产业园停车场,观澜大道54-6号(竹村地铁站A口步行290米),深圳市,114.042604,22.686807,地址搜索
1145,parking_lots_monthly.json,龙华智选假日酒店,龙华区大浪华宁路16号,深圳市,113.989173,22.690288,地址搜索
1151,parking_lots_monthly.json,龙得利工业园停车场,深圳市宝安区朗月路3号,深圳市,113.837039,22.795964,地址搜索
1158,parking_lots_monthly.json,龙胜路捷殷翰庭旁内部停车场,龙胜路捷殷翰庭小区旁,深圳市,114.009828,22.656709,地址搜索
1159,parking_lots_monthly.json,龙腾工业区停车场,龙城街道龙腾二路10号爱联岗贝小区,深圳市,114.244334,22.704814,地址搜索
1160,parking_lots_monthly.json,龙观天虹商场停车场,深圳市龙华区龙华街道龙园社区龙观东路445号,深圳市,114.019762,22.662338,地址搜索
1161,parking_lots_monthly.json,龙鸿源市场停车场,新生路91号龙鸿源市场,深圳市,114.273228,22.740697,地址搜索
111,parking_lots_count.json,国际人才大厦停车场,福中路17号国际人才大厦,深圳市,114.070967,22.544571,地址搜索
117,parking_lots_count.json,坤祥花语岸小区停车场,吉华街道长龙路128号,深圳市,114.115931,22.613518,地址搜索
154,parking_lots_count.json,平湖农贸市场停车场,平湖街道袁小饺(平湖农贸市场店)升平达商业楼,深圳市,113.822786,22.65203,地址搜索
210,parking_lots_count.json,概念空间-龙山工业区停车场,南湾街道南龙社区南湾龙山工业区,深圳市,114.137571,22.596458,地址搜索
239,parking_lots_count.json,深圳机场,深圳机场航城大道停车场,深圳市,113.852558,22.607245,地址搜索
263,parking_lots_count.json,白松公园停车场,民治街道白松公园,深圳市,,,定位失败
264,parking_lots_count.json,白沙岭停车场(百花五路),百花五路白沙岭,深圳市,,,定位失败
